Date,Spend,Impressions,CPM
2023-12-04,107.8,60945,1.7688079415866764
2023-12-05,79.8,46775,1.7060395510422233
2023-12-06,82.02,44509,1.8427733716776382
2023-12-07,85.65,40919,2.0931596568831106
2023-12-08,87.88,44977,1.9538875425217332
2023-12-09,90.94,46075,1.9737384698860554
2023-12-10,97.07,53089,1.8284390363352105
2023-12-11,109.99,49210,2.2351148140621824
2023-12-12,131.05,42193,3.105965444505013
2023-12-13,128.01,40404,3.168250668250668
2023-12-14,179.48,116085,1.546108455011414
2023-12-15,192.61,123721,1.5568092724759741
2023-12-16,194.98,130490,1.4942141160242164
2023-12-17,223.48,155169,1.4402361296392965
2023-12-18,217.91,153637,1.4183432376315601
2023-12-19,223.65,141760,1.5776664785553047
2023-12-20,230.07,137281,1.6759056242305927
2023-12-21,249.01,132827,1.8746941510385688
2023-12-22,251.68,131681,1.9112856068833015
2023-12-23,264.43,144036,1.8358604793246134
2023-12-24,252.16,165636,1.5223743630611704
2023-12-25,256.72,223913,1.1465167274789763
2023-12-26,251.38,190578,1.3190399731343596
2023-12-27,246.62,176255,1.39922271708604
2023-12-28,246.7,172780,1.42782729482579
2023-12-29,128.74,82205,1.5660847880299253
2023-12-30,79.68,64431,1.2366717884248266
2023-12-31,28.14,26762,1.0514909199611389
2024-01-03,75.79,100667,0.7528783017274777
2024-01-04,105.56,109788,0.961489415965315
2024-01-05,105.24,101609,1.0357350234723302
2024-01-06,105.28,105031,1.00237072864202
2024-01-07,104.72,98664,1.0613800372983053
2024-01-08,112.54,91014,1.2365130639242314
2024-01-09,110.98,80619,1.3765985685756459
2024-01-10,109.18,78640,1.388351983723296
2024-01-11,107.89,77163,1.3982089861721292
2024-01-12,103.39,75072,1.377211210571185
2024-01-13,138.27,79769,1.7333801351402174
2024-01-14,136.63,86216,1.5847406513872135
2024-01-15,135.8,78476,1.7304653652071973
2024-01-16,139.03,71157,1.9538485321191168
2024-01-17,325.07,84531,3.8455714471613964
2024-01-18,367.1,73807,4.973782974514613
2024-01-19,147.45,58401,2.524785534494272
2024-01-20,145.8,65299,2.232806015406055
2024-01-21,157.58,72621,2.1698957601795628
2024-01-22,159.82,76051,2.101484530117947
2024-01-23,172.95,72757,2.377090864109295
2024-01-24,167.18,67434,2.479164813002343
2024-01-25,166.85,63224,2.6390294824750096
2024-01-26,181.09,66127,2.738518305684516
2024-01-27,191.6,73454,2.6084352111525577
2024-01-28,211.01,86843,2.4297870870421336
2024-01-29,208.69,77479,2.693504046257696
2024-01-30,226.29,72425,3.124473593372454
2024-01-31,233.49,70061,3.33266724711323
2024-02-01,234.32,80814,2.8994976117999354
2024-02-02,221.71,72193,3.0710733727646726
2024-02-03,228.57,82206,2.780453981461207
2024-02-04,252.28,91006,2.77212491484078
2024-02-05,239.19,86749,2.757265213431855
2024-02-06,240.04,78222,3.068701899721306
2024-02-07,484.6,82960,5.841369334619094
2024-02-08,483.69,79063,6.117779492303606
2024-02-09,229.36,66171,3.4661709812455612
2024-02-10,223.48,68710,3.2525105515936548
2024-02-11,232.24,70968,3.2724608274151734
2024-02-12,292.96,80964,3.618398300479225
2024-02-13,291.78,81815,3.566338690949092
2024-02-14,302.18,76737,3.9378656971213366
2024-02-15,263.87,71519,3.6895090815028175
2024-02-16,219.9,60270,3.6485813837730214
2024-02-17,214.01,64057,3.3409307335654184
2024-02-18,237.21,74187,3.197460471511181
2024-02-19,165.49,65240,2.5366339668914777
2024-02-20,161.9,58956,2.7461157473369973
2024-02-21,156.84,55260,2.8382193268186753
2024-02-22,367.44,103692,3.543571345909038
2024-02-23,1004.39,269224,3.7306852286571774
2024-02-24,897.88,256196,3.5046604943090447
2024-02-25,321.98,111791,2.880196080185346
2024-03-01,121.95,63857,1.9097358159637943
2024-03-02,136.64,65926,2.0726268846888933
2024-03-03,141.88,68025,2.0857037853730245
2024-03-04,101.39,60025,1.6891295293627655
2024-03-05,94.74,48677,1.946299073484397
2024-03-06,74.93,41456,1.8074585102277114
2024-03-07,200.94,43739,4.594069366012025
2024-03-08,206.23,45660,4.51664476565922
2024-03-09,152.28,43925,3.4668184405236198
2024-03-10,91.05,50537,1.80165027603538
2024-03-11,104.64,45382,2.3057599929487465
2024-03-12,111.24,38170,2.914330626146188
2024-03-13,133.44,37094,3.597347279883539
2024-03-14,131.91,36987,3.566388190445292
2024-03-15,125.97,36660,3.4361702127659575
2024-03-16,121.71,41469,2.934963466685958
2024-03-17,142.5,47682,2.9885491380395117
2024-03-18,133.26,46859,2.843850701039288
2024-03-19,141.02,46103,3.058803114764766
2024-03-20,151.04,44438,3.3988928394617215
2024-03-21,145.28,42393,3.4269808694831694
2024-03-22,121.62,43613,2.7886180725930343
2024-03-23,117.74,47370,2.4855393709098585
2024-03-24,137.05,57007,2.4040907257003528
2024-03-25,134.94,51828,2.6036119472100023
2024-03-26,132.54,45434,2.9171985737553374
2024-03-27,128.48,44381,2.894932516166828
2024-03-28,181.71,138080,1.3159762456546928
2024-03-29,198.62,181855,1.0921888317615682
2024-03-30,177.06,189437,0.9346642947259511
2024-03-31,200.15,226460,0.8838205422591185
2024-04-01,149.96,157144,0.954283968843863
2024-04-02,129.33,121309,1.0661204032676883
2024-04-03,126.5,95879,1.3193712908979025
2024-04-04,141.22,88681,1.5924493408960205
2024-04-05,145.11,85275,1.7016710642040458
2024-04-06,142.74,91073,1.5673141326188884
2024-04-07,159.5,95223,1.6750154899551577
2024-04-08,144.69,87034,1.6624537537054485
2024-04-09,269.94,79828,3.3815202685774413
2024-04-10,258.07,71829,3.59283854710493
2024-04-11,209.22,71915,2.909267885698394
2024-04-12,163.9,80659,2.032011306859743
2024-04-13,163.93,105290,1.5569379808148922
2024-04-14,161.16,120025,1.3427202666111226
2024-04-15,158.45,80096,1.9782510986815818
2024-04-16,167.9,71389,2.351902954236647
2024-04-17,170.79,65864,2.593070569658691
2024-04-18,170.8,63278,2.699200353993489
2024-04-19,128.87,59521,2.165118193578737
2024-04-20,102.79,68913,1.4915908464295562
2024-04-21,116.76,88179,1.3241247916170518
2024-04-22,202.53,85737,2.3622240106371812
2024-04-23,200.72,71105,2.8228675901835314
2024-04-24,200.83,69202,2.9020837548047744
2024-04-25,153.61,40227,3.8185795609913744
2024-04-26,120.34,34590,3.479040185024574
2024-04-27,103.8,36125,2.873356401384083
2024-04-28,119.56,43394,2.7552196156150623
2024-04-29,34.3,10000,3.4299999999999997
2024-05-01,138.57,59881,2.3140896110619393
2024-05-02,138.95,52194,2.6621833927271332
2024-05-03,138.55,46933,2.9520806255726253
2024-05-04,137.26,48222,2.8464186470905393
2024-05-05,120.57,48843,2.468521589582949
2024-05-06,115.5,42763,2.7009330495989525
2024-05-07,108.99,38663,2.8189742130719293
2024-05-08,110.07,36849,2.987055279654807
2024-05-09,109.25,34884,3.1318082788671022
2024-05-10,109.0,33104,3.292653455775737
2024-05-11,100.18,33458,2.9942016856954994
2024-05-12,118.43,43966,2.6936723832052043
2024-05-13,126.24,33891,3.7248827122244843
2024-05-14,172.81,31949,5.408932986947948
2024-05-15,209.53,35773,5.857210745534341
2024-05-16,187.61,31378,5.979029893555995
2024-05-17,183.51,32660,5.618799755052051
2024-05-18,176.81,37041,4.7733592505601905
2024-05-19,120.3,40299,2.985185736618775
2024-05-20,91.43,35227,2.595452351889176
2024-05-21,91.94,34299,2.6805446222921954
2024-05-22,90.59,34026,2.662375830247458
2024-05-23,88.28,33393,2.643667834576109
2024-05-24,89.48,32687,2.737479732003549
2024-05-25,82.98,34393,2.412700258773588
2024-05-26,97.14,40909,2.3745386100858004
2024-05-27,122.32,42148,2.9021543133719274
2024-05-28,143.52,34466,4.164103754424651
2024-05-29,171.77,43501,3.94864485873888
2024-05-30,247.01,64956,3.802728000492641
2024-05-31,243.54,67576,3.6039422280099442
2024-06-01,171.2,74482,2.2985419295937275
2024-06-02,170.4,95754,1.7795601228147127
2024-06-03,166.58,80929,2.0583474403489483
2024-06-04,159.04,68318,2.3279370004976725
2024-06-05,158.51,64108,2.4725463280713793
2024-06-06,330.15,72639,4.545079089745178
2024-06-07,486.21,76276,6.374351040956526
2024-06-08,148.84,56509,2.633916721230247
2024-06-09,170.2,73126,2.3274895386046
2024-06-10,167.61,66984,2.502239340738087
2024-06-11,165.41,55447,2.9832091907587426
2024-06-12,157.55,49989,3.15169337254196
2024-06-13,18.24,7093,2.5715494149161144
2024-06-14,205.79,65834,3.1258923960263694
2024-06-15,213.53,60725,3.5163441745574313
2024-06-16,169.89,56015,3.032937605998393
2024-06-17,173.38,57160,3.0332400279916025
2024-06-18,167.4,30252,5.533518445061484
2024-06-19,169.04,27102,6.237178068039259
2024-06-20,141.17,26646,5.297980935224799
2024-06-21,103.24,27322,3.7786399238708728
2024-06-22,102.65,31480,3.260800508259212
2024-06-23,111.41,34391,3.239510337006775
2024-06-24,105.53,31404,3.3603999490510765
2024-06-25,107.19,25903,4.138130718449601
2024-06-26,105.86,23453,4.513708267599028
2024-06-27,98.43,19421,5.06822511714124
2024-06-28,18.7,4306,4.342777519739898
2024-07-01,108.9,40087,2.7165914136752565
2024-07-02,152.69,50481,3.0247023632653867
2024-07-03,179.01,55062,3.251062438705459
2024-07-04,173.76,49556,3.5063362660424566
2024-07-05,177.26,50785,3.4904007088707294
2024-07-06,157.34,50765,3.099379493745691
2024-07-07,192.89,64953,2.969685772789555
2024-07-08,189.12,60440,3.1290536068828594
2024-07-09,180.91,57335,3.155315252463591
2024-07-10,182.76,57496,3.178655906497843
2024-07-11,180.27,55479,3.249337587195155
2024-07-12,170.59,50891,3.352066180660628
2024-07-13,158.76,54894,2.8921193573068096
2024-07-14,189.2,64309,2.942045436875087
2024-07-15,190.17,69140,2.7505062192652585
2024-07-16,188.98,55122,3.4283951961104457
2024-07-17,198.43,55716,3.5614545193481226
2024-07-18,197.34,52852,3.733822750321653
2024-07-19,187.45,47654,3.9335627649305405
2024-07-20,188.89,53145,3.554238404365415
2024-07-21,210.76,62809,3.3555700616153734
2024-07-22,210.02,58361,3.598636075461353
2024-07-23,200.14,56525,3.5407341884122068
2024-07-24,198.2,56985,3.478108274107221
2024-07-25,92.04,13189,6.978542724998105
2024-07-31,133.65,8016,16.672904191616766
2024-08-01,369.31,28644,12.89310152213378
2024-08-02,510.93,78875,6.4777179080824085
2024-08-03,522.96,86652,6.0351751834925915
2024-08-04,549.01,85670,6.408427687638613
2024-08-05,547.94,74836,7.321877171414828
2024-08-06,527.38,75042,7.027797766584046
2024-08-07,517.1,66620,7.761933353347343
2024-08-08,512.11,61493,8.327939765501764
2024-08-09,495.02,59813,8.276127263303962
2024-08-10,487.9,59391,8.215049418262026
2024-08-11,547.33,74965,7.301140532248382
2024-08-12,476.18,64978,7.32832651051125
2024-08-13,536.03,65755,8.151927610067675
2024-08-14,565.63,70656,8.005406476449275
2024-08-15,444.93,62122,7.162196967257976
2024-08-16,431.96,64933,6.652395546178369
2024-08-17,342.2,60554,5.651154341579417
2024-08-18,393.61,68444,5.750832797615569
2024-08-19,455.9,67628,6.741290589696575
2024-08-20,539.88,67806,7.962127245376515
2024-08-21,532.11,70832,7.512282584142761
2024-08-22,515.68,65038,7.9289031028014385
2024-08-23,490.38,60678,8.08167704934243
2024-08-24,444.0,65881,6.739424113173753
2024-08-25,518.71,73398,7.067086296629337
2024-08-26,505.55,66415,7.611985244297222
2024-08-27,503.68,61622,8.173704196553178
2024-08-28,498.74,58493,8.526490349272564
2024-08-29,479.74,58199,8.243096960428874
2024-08-30,456.29,58523,7.796763665567384
2024-08-31,462.45,62938,7.3477072674695725
2024-09-01,531.32,78988,6.7265913809692615
2024-09-02,532.16,75300,7.067197875166002
2024-09-03,503.31,74360,6.768558364712211
2024-09-04,454.96,69543,6.5421393957695235
2024-09-05,508.91,69101,7.36472699382064
2024-09-06,468.73,62439,7.507006838674546
2024-09-07,369.67,57678,6.40920281563161
2024-09-08,320.09,56254,5.690084260674796
2024-09-10,395.6,57931,6.828813588579517
2024-09-11,399.7,58502,6.832245051451232
2024-09-12,353.13,57144,6.17965140697186
2024-09-13,63.12,1775,35.56056338028169
2024-09-14,35.43,1053,33.64672364672364
2024-09-16,169.84,51768,3.280791222376758
2024-09-17,278.07,55402,5.019132883289412
2024-09-18,306.24,55219,5.545917166192797
2024-09-19,302.16,55614,5.433164311144676
2024-09-20,304.52,52340,5.818112342376767
2024-09-21,303.95,56898,5.342015536574221
2024-09-22,289.64,58341,4.964604651960028
2024-09-23,270.68,53882,5.023570023384433
2024-09-24,237.27,48310,4.911405506106396
2024-09-25,247.89,49001,5.058876349462255
2024-09-26,246.6,48624,5.071569595261599
2024-09-27,238.19,48308,4.930653307940714
2024-09-28,229.6,48082,4.7751757414417035
2024-09-29,252.79,52077,4.854158265645102
2024-10-01,116.97,30796,3.798220548123133
2024-10-02,103.7,24125,4.298445595854923
2024-10-16,119.53,9887,12.089612622635785
2024-10-17,118.21,6437,18.364144787944696
2024-10-18,116.43,7250,16.059310344827587
2024-10-19,117.54,7212,16.29783693843594
